,wikidata,country,bathwateridentifier,status,eionet,euType,euMotive,NotEuMotive,link,WD
0,Q106707019,se,SE0441278000000145,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441278000000145,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441278000000145'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707019'>link WD</a>
20,Q106707057,se,SE0A11381000000181,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11381000000181,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11381000000181'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707057'>link WD</a>
23,Q106707059,se,SE0A11381000000183,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11381000000183,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11381000000183'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707059'>link WD</a>
24,Q106707060,se,SE0A11381000000186,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11381000000186,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11381000000186'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707060'>link WD</a>
25,Q106707061,se,SE0A11381000000188,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11381000000188,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11381000000188'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707061'>link WD</a>
27,Q106707058,se,SE0A11381000000182,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11381000000182,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11381000000182'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707058'>link WD</a>
29,Q106707065,se,SE0411080000000199,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0411080000000199,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0411080000000199'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707065'>link WD</a>
30,Q106707062,se,SE0A11381000000189,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11381000000189,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11381000000189'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707062'>link WD</a>
31,Q106707067,se,SE0411080000000202,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0411080000000202,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0411080000000202'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707067'>link WD</a>
34,Q106707072,se,SE0940980000000248,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0940980000000248,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0940980000000248'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707072'>link WD</a>
35,Q106707073,se,SE0940980000000260,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0940980000000260,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0940980000000260'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707073'>link WD</a>
36,Q106707074,se,SE0441291000000272,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441291000000272,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441291000000272'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707074'>link WD</a>
37,Q106707066,se,SE0411080000000201,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0411080000000201,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0411080000000201'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707066'>link WD</a>
43,Q106707082,se,SE0441291000000281,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441291000000281,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441291000000281'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707082'>link WD</a>
44,Q106707083,se,SE0441291000000284,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441291000000284,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441291000000284'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707083'>link WD</a>
58,Q106707099,se,SE0441264000000306,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441264000000306,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441264000000306'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707099'>link WD</a>
60,Q106707100,se,SE0441264000000308,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441264000000308,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441264000000308'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707100'>link WD</a>
62,Q106707101,se,SE0441283000000310,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000310,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000310'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707101'>link WD</a>
63,Q106707102,se,SE0441283000000311,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000311,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000311'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707102'>link WD</a>
65,Q106707113,se,SE0441283000000313,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000313,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000313'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707113'>link WD</a>
66,Q10715268,se,SE0441283000000316,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000316,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000316'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q10715268'>link WD</a>
68,Q106707117,se,SE0441283000000317,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000317,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000317'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707117'>link WD</a>
70,Q106707119,se,SE0441283000000319,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000319,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000319'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707119'>link WD</a>
