,0
0,Q16410364
1,Q1252907
2,Q31927225
3,Q3323653
4,Q23750288
5,Q35694946
6,Q10717679
7,Q16275831
8,Q31891561
9,Q429769
10,Q16497364
11,Q13368095
12,Q10705582
13,Q16506308
14,Q32229557
15,Q10438360
16,Q10438438
17,Q16507329
18,Q473857
19,Q28838051
20,Q18178112
21,Q5254523
22,Q216627
23,Q18181312
24,Q17711295
25,Q16506558
26,Q10688202
27,Q18105292
28,Q10496947
29,Q18132950
30,Q107039908
31,Q21856416
32,Q17745187
33,Q18187251
34,Q10509720
35,Q17709418
36,Q18105737
37,Q18196321
38,Q32254050
39,Q10524190
40,Q18133591
41,Q18196732
42,Q18132165
43,Q18050552
44,Q10532385
45,Q107039740
46,Q18131547
47,Q18132326
48,Q3360973
49,Q18136133
50,Q49114276
51,Q431863
52,Q17693012
53,Q17745174
54,Q10727203
55,Q10542941
56,Q10605387
57,Q17745292
58,Q18104966
59,Q18131538
60,Q18050207
61,Q17745410
62,Q18179051
63,Q10572657
64,Q2285479
65,Q18186399
66,Q17745192
67,Q17745333
68,Q550372
69,Q35289199
70,Q17745211
71,Q17745212
72,Q10670918
73,Q18095197
74,Q17614488
75,Q17645090
76,Q18182735
77,Q18105537
78,Q49392963
79,Q17712543
80,Q49393163
81,Q10611361
82,Q18187272
83,Q106962860
84,Q2370591
85,Q10698662
86,Q18133380
87,Q17745409
88,Q18194072
89,Q17709637
90,Q16503724
91,Q31843544
92,Q16505537
93,Q18132560
94,Q1272368
95,Q16505256
96,Q18136766
97,Q17709327
98,Q17692309
99,Q18186926
100,Q17644580
101,Q16505669
102,Q18188765
103,Q18188950
104,Q18188738
105,Q18179786
106,Q16502530
107,Q17638567
108,Q18105346
109,Q18132352
110,Q10524934
111,Q18051614
112,Q18132359
113,Q17709372
114,Q18104983
115,Q18104986
116,Q18105398
117,Q18186354
118,Q10553425
119,Q18179845
120,Q17517479
121,Q18179910
122,Q10560716
123,Q18105088
124,Q18131585
125,Q18051640
126,Q18051643
127,Q18105022
128,Q18105561
129,Q18105470
130,Q10576083
131,Q18193000
132,Q17644576
133,Q10587510
134,Q18136308
135,Q18187072
136,Q18188890
137,Q18051665
138,Q18179662
139,Q17638540
140,Q18132869
141,Q18144728
142,Q10650565
143,Q18187242
144,Q17525220
145,Q18137398
146,Q18194596
147,Q18051685
148,Q18132230
149,Q18177966
150,Q18187117
151,Q18188961
152,Q18104791
153,Q18105806
154,Q10673186
155,Q18132520
156,Q17780919
157,Q18105575
158,Q18105577
159,Q18105104
160,Q10689117
161,Q10690681
162,Q18179999
163,Q18187217
164,Q18105606
165,Q18187221
166,Q18104808
167,Q10692665
168,Q4992317
169,Q18189025
170,Q18132365
171,Q18187240
172,Q34644591
173,Q18133991
174,Q258116
175,Q33614151
176,Q107042296
177,Q17645273
